dataset,cifar10
model,resnet18
batch_size,128
num_workers,0
smoke_test,1
learning_rate,0.1
data_augmentation,False
cutout,False
n_holes,1
length,16
use_cuda,False
seed,0
gutout,False
threshold,0.9
random_threshold,False
mu,0.9
sigma,0.1
epochs,20
switch_interval,2
cuda,False
""
epoch,train_acc,test_acc
1,0.125,0.08984375
3,0.109375,0.1328125
5,0.13541666666666666,0.078125
7,0.15364583333333334,0.078125
9,0.16145833333333334,0.1171875
11,0.15625,0.10546875
13,0.1640625,0.10546875
15,0.19010416666666666,0.09765625
17,0.18229166666666666,0.125
19,0.203125,0.2265625
21,0.21354166666666666,0.21875
23,0.19791666666666666,0.234375
25,0.20572916666666666,0.25
27,0.20833333333333334,0.2578125
29,0.22395833333333334,0.21484375
31,0.16927083333333334,0.2421875
33,0.2265625,0.24609375
35,0.22395833333333334,0.26171875
37,0.2630208333333333,0.27734375
39,0.234375,0.21875
